Date,Symbol,Series,Prev Close,open,high,low,last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
1996-02-27,BLUEDART,EQ,123.0,123.0,123.0,122.5,,122.5,122.9,500,6145000000.0,,,,buy,185.586899393005,95225.9850809889,72470.16469370466
1996-02-28,BLUEDART,EQ,122.5,122.0,125.0,122.0,,125.0,123.91,1100,13630000000.0,,,,sell,161.84686490816753,95668.5271178303,75434.70149999874
1996-02-29,BLUEDART,EQ,125.0,126.5,126.75,126.5,,126.75,126.63,200,2532500000.0,,,,sell,157.89563122206505,95948.79162710898,75935.01955084252
1996-03-01,BLUEDART,EQ,126.75,126.75,130.0,124.0,,124.0,127.55,1400,17857500000.0,,,,buy,395.61745936773195,95514.07782237859,46428.03535408977
1996-03-04,BLUEDART,EQ,124.0,131.0,135.0,131.0,,135.0,132.67,300,3980000000.0,,,,sell,177.79257208500516,99836.39236873359,75804.98877747472
1996-03-06,BLUEDART,EQ,135.0,125.05,125.05,125.0,,125.0,125.02,300,3750500000.0,,,,buy,777.1527531187274,98029.06028810036,810.0461256302369
1996-03-07,BLUEDART,EQ,125.0,122.0,122.0,122.0,,122.0,122.0,200,2440000000.0,,,,sell,447.19728671876493,95622.68200611499,41024.35845952487
1996-03-08,BLUEDART,EQ,122.0,122.0,122.0,120.0,,120.0,120.67,300,3620000000.0,,,,buy,556.9038866565027,94688.03286577665,27846.401675003814
1996-03-11,BLUEDART,EQ,120.0,120.0,120.0,116.0,,116.0,119.64,1100,13160000000.0,,,,sell,58.72247257003136,92447.25252715813,85577.65666500045
1996-03-12,BLUEDART,EQ,116.0,117.0,120.0,116.0,,116.0,117.4,500,5870000000.0,,,,buy,621.6846576385026,92389.4634831241,20208.739583589864
1996-03-13,BLUEDART,EQ,116.0,118.0,120.0,116.0,,116.0,118.0,300,3540000000.0,,,,sell,209.28341357993833,92324.15986965617,67999.44535007252
1996-03-14,BLUEDART,EQ,116.0,125.0,127.0,125.0,,125.0,125.2,4000,50080000000.0,,,,sell,92.43847013622302,94159.87204756482,82590.45766260647
1996-03-15,BLUEDART,EQ,125.0,130.0,132.0,130.0,,130.0,130.72,900,11765000000.0,,,,buy,590.275766241788,94607.45878031546,17806.890320389306
1996-03-18,BLUEDART,EQ,130.0,128.0,128.0,126.25,,126.25,127.93,3300,42216500000.0,,,,sell,559.2205864730815,92329.20580841505,21723.686049742697
1996-03-19,BLUEDART,EQ,126.25,127.5,130.9,127.5,,130.9,127.99,700,8959500000.0,,,,sell,111.0328415535518,94925.66081906907,80332.79408389918
1996-03-21,BLUEDART,EQ,130.9,130.0,130.0,127.0,,129.0,128.0,500,6400000000.0,,,,buy,563.0329425945885,94656.03064430736,21966.473036571166
1996-03-22,BLUEDART,EQ,129.0,129.0,130.0,125.5,,129.7,127.71,1400,17880000000.0,,,,sell,45.05989795081916,94991.84569108929,89080.39582297773
1996-03-25,BLUEDART,EQ,129.7,129.7,135.0,130.0,,135.0,130.19,4800,62490000000.0,,,,buy,360.29478370073605,95163.48204633832,46481.12953716273
1996-03-26,BLUEDART,EQ,135.0,134.75,135.0,132.75,,132.75,134.13,800,10730000000.0,,,,buy,604.6860860524971,94310.26207343544,14005.741204579255
1996-03-27,BLUEDART,EQ,132.75,132.75,135.0,130.0,,132.45,132.43,13300,176135000000.0,,,,sell,360.18592313800895,94096.4133022325,46357.40373602518
1996-03-28,BLUEDART,EQ,132.45,130.1,134.0,130.1,,134.0,133.37,14000,186714000000.0,,,,sell,273.0549778642255,94622.31743651838,58021.27485604548
1996-03-29,BLUEDART,EQ,134.0,134.0,134.5,133.0,,134.5,133.5,500,6675000000.0,,,,sell,169.82939753834785,94747.16937878382,71891.23156932219
1996-04-01,BLUEDART,EQ,134.5,135.0,136.0,133.5,,135.0,134.88,1100,14836500000.0,,,,buy,226.82942215971937,94818.20023699915,64188.533242113146
1996-04-02,BLUEDART,EQ,135.0,135.05,137.0,135.0,,136.0,135.51,1000,13551000000.0,,,,sell,20.991643641605293,95037.33465583497,92154.4771826982
1996-04-03,BLUEDART,EQ,136.0,136.0,140.0,137.5,,140.0,139.21,700,9745000000.0,,,,buy,237.99064262625075,95093.30729252295,61744.237464989994
1996-04-04,BLUEDART,EQ,140.0,136.0,140.0,135.05,,140.0,136.99,2000,27398000000.0,,,,buy,502.32259208048083,95062.9274326651,24700.75806847419
1996-04-08,BLUEDART,EQ,140.0,140.5,140.5,140.0,,140.0,140.08,600,8405000000.0,,,,buy,608.6820242803209,95025.92095974152,9795.547239988606
1996-04-09,BLUEDART,EQ,140.0,140.0,139.0,136.0,,136.0,137.12,2100,28794500000.0,,,,sell,55.147151356733616,92576.30254211224,85001.00921487887
1996-04-10,BLUEDART,EQ,136.0,136.0,136.1,134.0,,134.0,135.38,3900,52796500000.0,,,,buy,225.77133861150415,92390.72749668117,62114.504481647484
1996-04-11,BLUEDART,EQ,134.0,134.0,134.0,132.0,,132.0,132.4,500,6620000000.0,,,,buy,342.78074535978277,91916.32117836602,46653.817549183936
1996-04-12,BLUEDART,EQ,132.0,132.0,143.0,132.75,,132.75,140.21,35900,503340500000.0,,,,buy,593.7871886432101,92157.9614956951,13299.391097963082
1996-04-15,BLUEDART,EQ,132.75,132.75,137.0,135.0,,136.0,135.8,500,6790000000.0,,,,sell,0.028984975405251134,94054.44875343965,93969.75568108572
1996-04-16,BLUEDART,EQ,136.0,136.0,134.5,132.0,,133.9,133.32,600,7999000000.0,,,,buy,433.4717773166451,93973.63676929248,35873.72779669921
1996-04-17,BLUEDART,EQ,133.9,133.9,135.0,133.0,,135.0,133.46,900,12011000000.0,,,,sell,190.95362928301248,94392.4177344463,68580.93783125508
1996-04-18,BLUEDART,EQ,135.0,135.0,133.5,132.5,,133.5,133.0,700,9310000000.0,,,,buy,232.19051954448716,94073.24734053724,63070.30785649831
1996-04-19,BLUEDART,EQ,133.5,133.5,137.0,135.0,,136.0,135.86,700,9510000000.0,,,,buy,245.6489203430517,94648.21851454856,61238.135005384924
1996-04-22,BLUEDART,EQ,136.0,133.0,136.5,133.0,,133.0,134.27,9100,122182500000.0,,,,buy,516.6413450891683,93909.4414110108,25160.100521660184
1996-04-23,BLUEDART,EQ,133.0,133.0,136.0,133.0,,133.0,134.69,14400,193952500000.0,,,,sell,302.8268920126503,93873.39941851958,53568.9854585779
1996-04-24,BLUEDART,EQ,133.0,133.0,133.0,130.0,,132.0,132.33,600,7940000000.0,,,,buy,470.7702373755152,93542.13520424775,31378.295349091844
1996-04-25,BLUEDART,EQ,132.0,132.0,130.0,129.5,,130.0,129.57,700,9070000000.0,,,,buy,614.8131690052433,92578.42620790882,12633.988656115333
1996-04-26,BLUEDART,EQ,130.0,130.0,129.5,126.0,,126.0,127.93,700,8955000000.0,,,,sell,144.04207514277368,90100.447950776,71891.82932495984
1996-04-29,BLUEDART,EQ,126.0,126.0,132.0,123.0,,123.0,126.0,600,7560000000.0,,,,sell,117.28501364740497,89609.004567521,75179.65677032626
1996-04-30,BLUEDART,EQ,123.0,123.0,125.0,123.0,,125.0,124.51,900,11205500000.0,,,,buy,531.2586278921304,89840.28347625188,23381.208287954993
1996-05-01,BLUEDART,EQ,125.0,121.0,121.0,121.0,,121.0,121.0,100,1210000000.0,,,,sell,96.4054202329105,87663.50226290277,75945.82917659383
1996-05-02,BLUEDART,EQ,121.0,121.0,121.1,121.0,,121.1,121.05,200,2421000000.0,,,,buy,117.36082505595904,87620.52556679929,73405.59195299858
1996-05-03,BLUEDART,EQ,121.1,122.0,123.0,122.0,,123.0,122.42,600,7345000000.0,,,,sell,26.27086814321389,87840.97343488154,84598.45258856597
1996-05-06,BLUEDART,EQ,123.0,121.0,124.0,121.0,,124.0,123.4,500,6170000000.0,,,,buy,491.81016835486076,87856.0402383245,26813.852489095516
1996-05-07,BLUEDART,EQ,124.0,122.0,122.95,112.0,,112.1,115.67,1400,16194000000.0,,,,sell,86.62162082264075,81945.77236167541,72190.06703127902
1996-05-08,BLUEDART,EQ,112.1,112.1,115.0,112.0,,115.0,113.5,200,2270000000.0,,,,sell,67.57886976511492,82151.55342588271,74377.79348652287
1996-05-09,BLUEDART,EQ,115.0,117.0,120.0,117.0,,120.0,117.4,800,9392000000.0,,,,buy,434.6433349392311,82487.25785833667,30286.00992980804
1996-05-10,BLUEDART,EQ,120.0,113.5,113.5,113.5,,113.5,113.5,100,1135000000.0,,,,sell,1.3962928053385326,79618.02844541078,79410.37567272266
1996-05-13,BLUEDART,EQ,113.5,113.5,119.75,117.0,,117.0,117.4,700,8218000000.0,,,,buy,29.171812007563236,79573.74193094726,76157.39019031571
1996-05-15,BLUEDART,EQ,117.0,125.0,125.0,125.0,,125.0,125.0,22500,281250000000.0,,,,buy,99.99458035428376,79803.86669126111,67295.6913009323
1996-05-16,BLUEDART,EQ,125.0,120.0,121.5,120.0,,121.5,120.83,300,3625000000.0,,,,buy,485.1841406562886,79445.03281397778,20448.35919266203
1996-05-20,BLUEDART,EQ,121.5,121.5,111.75,111.25,,111.35,111.54,700,7807500000.0,,,,buy,619.0920732364812,74473.61325473976,5522.800251564784
1996-05-21,BLUEDART,EQ,111.35,110.05,112.0,110.05,,111.95,110.74,600,6644500000.0,,,,sell,491.80584441374344,74830.15785038884,19758.243874953565
1996-05-22,BLUEDART,EQ,111.95,111.95,109.0,105.1,,109.0,107.7,300,3231000000.0,,,,sell,83.42130451413198,73365.08091605161,64227.64480916216
1996-05-23,BLUEDART,EQ,109.0,109.0,107.0,107.0,,107.0,107.0,100,1070000000.0,,,,sell,74.71582233944123,73153.72439217428,65158.19991526137
1996-05-24,BLUEDART,EQ,107.0,108.95,117.25,108.95,,116.1,112.44,1800,20239500000.0,,,,buy,253.1144456506579,73832.7068888705,44425.40766866268
1996-05-27,BLUEDART,EQ,116.1,116.1,114.5,107.0,,112.1,111.77,500,5588500000.0,,,,buy,309.29473040186156,72799.53702610143,38121.29993813214
1996-05-28,BLUEDART,EQ,112.1,112.15,112.5,112.0,,112.0,112.13,600,6728000000.0,,,,sell,272.16464972992645,72762.30974314063,42275.71040435362
1996-05-29,BLUEDART,EQ,112.0,112.0,119.95,118.5,,119.95,119.24,400,4769500000.0,,,,buy,599.9005153586231,74921.8601394583,2924.481405109291
1996-05-30,BLUEDART,EQ,119.95,112.05,112.05,112.05,,112.05,112.05,100,1120500000.0,,,,sell,259.9019533714913,70143.334151043,40983.223436896755
1996-05-31,BLUEDART,EQ,112.05,112.05,112.0,112.0,,112.0,112.0,100,1120000000.0,,,,buy,367.7712941320007,70092.24221450379,28889.775905554525
1996-06-03,BLUEDART,EQ,112.0,113.0,113.0,110.0,,110.0,110.21,1400,15430000000.0,,,,buy,592.9552821147169,69344.61826007461,4094.7669887776538
1996-06-04,BLUEDART,EQ,110.0,110.0,110.0,110.0,,110.0,110.0,700,7700000000.0,,,,sell,567.8942141385845,69319.84802139651,6848.727748674836
1996-06-05,BLUEDART,EQ,110.0,109.0,114.0,103.1,,114.0,110.54,4600,50847500000.0,,,,sell,457.46823668189444,71588.66816047348,19424.700617307444
1996-06-06,BLUEDART,EQ,114.0,108.0,118.0,108.0,,110.0,112.91,2000,22581000000.0,,,,buy,466.669821412762,69746.20665231583,18411.514122591616
1996-06-07,BLUEDART,EQ,110.0,112.0,113.0,112.0,,112.55,112.61,500,5630500000.0,,,,sell,47.06811907270236,70935.20252259797,65590.45954936696
1996-06-10,BLUEDART,EQ,112.55,117.0,120.0,114.0,,117.55,117.02,1900,22233000000.0,,,,sell,14.430678481862103,71123.31694636312,69423.15415967879
1996-06-11,BLUEDART,EQ,117.55,117.0,125.0,114.9,,122.55,118.84,1900,22580000000.0,,,,buy,130.02906617576144,71191.63380763099,55242.40516537953
1996-06-12,BLUEDART,EQ,122.55,118.0,118.0,118.0,,118.0,118.0,200,2360000000.0,,,,sell,5.887289540018557,70585.83497411938,69876.48607875418
1996-06-13,BLUEDART,EQ,118.0,119.0,120.0,119.0,,119.0,119.11,2200,26205000000.0,,,,buy,469.2490485967501,70577.0735340164,14681.29670167539
1996-06-14,BLUEDART,EQ,119.0,119.0,120.0,118.0,,118.0,119.65,8100,96915500000.0,,,,buy,469.2490485967501,70052.68443609189,14681.29670167539
