time_step,open_price,close_price,cash,stock_held,net_worth,action,action_type,quantity
47,96.5,97.8,87090.6340873942,120.40150862736037,98874.55570884352,0.11909300081641372,buy,88.47696373617222
48,95.5,95.95,92322.84502042842,65.81632487107447,98643.15884018943,0.0640194053559312,sell,54.58867826729123
49,96.5,93.65,94553.8000485384,41.97021471275827,98486.54384460454,0.03990911300584887,sell,23.847061835421258
50,93.7,90.8,81558.96657066507,184.94214892252782,98364.69554445684,0.17071925073540117,buy,142.94752614828508
51,96.1,92.5,70883.80001711575,300.2340629927746,98666.1153459989,0.2814710068339368,buy,115.25946273911362
52,93.45,93.2,30051.05152424272,737.9160000779323,98865.61468804235,0.6956288232695464,buy,437.3774729142966
53,94.0,94.2,16103.38248170957,885.8325107703519,99562.73873158394,0.8381189948935791,buy,147.7925390551501
54,94.6,93.85,29311.16059351182,744.9587855608349,99238.7636175071,0.7045067821920192,sell,140.9729717043599
55,93.0,94.2,89761.96157557028,102.58816672481771,99486.27819334247,0.09713706735211369,sell,642.4330168340841
56,94.25,93.0,76202.06634261514,248.24783214493684,99302.66108097833,0.2324917392762751,buy,145.62580075116318
57,93.95,92.25,88002.01823882812,120.20703366393028,99102.92885798556,0.11189476419398503,sell,128.05512557595978
58,92.8,92.2,38006.82267578127,661.9125685092026,99085.1067426425,0.6159183839308938,buy,541.3718884476839
59,92.3,94.5,56917.780134566216,461.59630029617546,100557.56039990092,0.43378986328343305,sell,200.40316337962872
60,94.55,92.95,35949.55863008838,686.9569697985702,99823.15624709573,0.6396576981068443,buy,225.2165158152971
61,92.8,93.1,13434.690809355452,928.5506910154085,99905.25251833527,0.865300543809436,buy,241.3846700384886
62,92.6,94.9,9499.059523329171,969.9806128957018,101554.15138671773,0.9064243943437794,buy,41.39236878844508
63,94.5,95.65,42364.77614750595,626.0327274862278,102277.70514680305,0.585465134342911,sell,344.14925490441215
64,96.0,94.65,10818.577498500363,958.99293842168,101618.77380407741,0.893227483699178,buy,332.6628017240664
65,94.0,94.45,42574.076702536586,622.4414668438426,101395.46053242804,0.5798050152807284,sell,336.7466058089584
66,93.95,93.85,7022.248573333236,1000.8784601031497,100990.2083658312,0.9301143645571631,buy,378.0850035757969
67,95.0,94.4,79106.32339666897,236.51160571342382,101505.17520707057,0.21995622916566326,sell,764.5349816407165
68,94.4,94.85,42933.35042584962,617.5009165693508,101539.44919858722,0.576819772008551,buy,380.76954868850135
69,96.0,97.65,21422.14303666124,837.5697099284585,103232.31492884672,0.7922779047518903,buy,219.89443771660387
70,98.25,98.6,18450.13659986994,867.6816510987618,104006.51643560725,0.8225774089002003,buy,30.08717176775849
